Signal, Bid (sell price), Ask (buy price), Max Close in 120 Hour(s), Target, Time
1, 1.28902, 1.28972, 1.29278, 0.2373896448464773, 2013.05.20 00:00:00
1, 1.28384, 1.28423, 1.29274, 0.6628551844466614, 2013.05.19 00:00:00
1, 1.28363, 1.28426, 1.29274, 0.6606265045223345, 2013.05.17 00:00:00
1, 1.28602, 1.28677, 1.29274, 0.4642229514315509, 2013.05.16 00:00:00
0, 1.29289, 1.29387, 1.28737, -0.5027496538761789, 2013.05.14 00:00:00
0, 1.30075, 1.30133, 1.29289, -0.6488564289832961, 2013.05.13 00:00:00
1, 1.29725, 1.29749, 1.30075, 0.2513008286760486, 2013.05.12 00:00:00
0, 1.29853, 1.29932, 1.30075, 0.1101245254249068, 2013.05.10 00:00:00
0, 1.30411, 1.3046, 1.30075, -0.2952204952036355, 2013.05.09 00:00:00
0, 1.31624, 1.31669, 1.30411, -0.9557527502583142, 2013.05.08 00:00:00
1, 1.309, 1.30937, 1.31624, 0.5248281130634189, 2013.05.07 00:00:00
1, 1.30774, 1.30809, 1.31624, 0.6232125651888069, 2013.05.06 00:00:00
1, 1.31245, 1.31268, 1.31624, 0.2712484285115629, 2013.05.05 00:00:00
1, 1.31131, 1.3122, 1.31624, 0.3080888577071816, 2013.05.03 00:00:00
1, 1.30738, 1.30848, 1.31245, 0.3036607566277616, 2013.05.02 00:00:00
0, 1.31743, 1.31794, 1.31245, -0.4167204329641631, 2013.05.01 00:00:00
0, 1.31643, 1.31701, 1.31743, 0.03190446890452701, 2013.04.30 00:00:00
1, 1.30877, 1.30907, 1.31743, 0.6387676979148301, 2013.04.29 00:00:00
1, 1.30492, 1.30518, 1.31743, 0.9387548661986843, 2013.04.28 00:00:00
1, 1.30267, 1.30327, 1.31743, 1.086998242072048, 2013.04.26 00:00:00
1, 1.30393, 1.30426, 1.31643, 0.9333323107835554, 2013.04.25 00:00:00
1, 1.30476, 1.30546, 1.30877, 0.2536865017321305, 2013.04.24 00:00:00
1, 1.29931, 1.30141, 1.30492, 0.2701433837960244, 2013.04.23 00:00:00
0, 1.30529, 1.30572, 1.30476, -0.07354687464088991, 2013.04.22 00:00:00
0, 1.30762, 1.3079, 1.30529, -0.1995992719597438, 2013.04.21 00:00:00
0, 1.3051, 1.30567, 1.30762, 0.1494138380200842, 2013.04.19 00:00:00
0, 1.3064, 1.30694, 1.30762, 0.05205143906919887, 2013.04.18 00:00:00
1, 1.3044, 1.30485, 1.30762, 0.2123581723397684, 2013.04.17 00:00:00
0, 1.31741, 1.31793, 1.30762, -0.7825961545760273, 2013.04.16 00:00:00
1, 1.30423, 1.30496, 1.31741, 0.9545862309562019, 2013.04.15 00:00:00
1, 1.3077, 1.30799, 1.31741, 0.7203487038311527, 2013.04.14 00:00:00
1, 1.31082, 1.31159, 1.31741, 0.4439968874444955, 2013.04.12 00:00:00
1, 1.31224, 1.31255, 1.31741, 0.3703590806559672, 2013.04.11 00:00:00
1, 1.30567, 1.3064, 1.31224, 0.4472799405669171, 2013.04.10 00:00:00
1, 1.30862, 1.30898, 1.31224, 0.2491173908392247, 2013.04.09 00:00:00
1, 1.3054, 1.30581, 1.31224, 0.4925693274092182, 2013.04.08 00:00:00
1, 1.29891, 1.29915, 1.31224, 1.0077680516741, 2013.04.07 00:00:00
1, 1.29915, 1.30057, 1.30862, 0.6196359157910858, 2013.04.05 00:00:00
1, 1.29241, 1.29291, 1.30862, 1.21555853018778, 2013.04.04 00:00:00
1, 1.28462, 1.28501, 1.3054, 1.587239806324077, 2013.04.03 00:00:00
1, 1.28031, 1.28084, 1.29915, 1.430122392233135, 2013.04.02 00:00:00
1, 1.28658, 1.28732, 1.29915, 0.9194919865068638, 2013.04.01 00:00:00
1, 1.27809, 1.27837, 1.29241, 1.098514189141614, 2013.03.31 00:00:00
1, 1.28148, 1.28236, 1.28658, 0.3293067390829442, 2013.03.29 00:00:00
1, 1.28272, 1.28312, 1.28658, 0.269739303979046, 2013.03.28 00:00:00
1, 1.27792, 1.27821, 1.28658, 0.6549705771879468, 2013.03.27 00:00:00
0, 1.28441, 1.28516, 1.28272, -0.1899704922882878, 2013.03.26 00:00:00
0, 1.28675, 1.28715, 1.28441, -0.2129395764522996, 2013.03.25 00:00:00
0, 1.30343, 1.3041, 1.28675, -1.331103319702629, 2013.03.24 00:00:00
1, 1.29867, 1.29927, 1.30343, 0.3203277198980621, 2013.03.22 00:00:00
1, 1.29136, 1.29232, 1.30343, 0.8603332920332018, 2013.03.21 00:00:00
1, 1.29468, 1.29551, 1.30343, 0.6117341736954248, 2013.03.20 00:00:00
1, 1.28738, 1.28848, 1.30343, 1.161273283723533, 2013.03.19 00:00:00
1, 1.29542, 1.29576, 1.29867, 0.2246375692825468, 2013.03.18 00:00:00
1, 1.29027, 1.29043, 1.29542, 0.3867407596859611, 2013.03.17 00:00:00
0, 1.30754, 1.30807, 1.29542, -0.9674656224666036, 2013.03.15 00:00:00
1, 1.30213, 1.30246, 1.30754, 0.3901300177401622, 2013.03.14 00:00:00
1, 1.29474, 1.2951, 1.30754, 0.9608106646894363, 2013.03.13 00:00:00
1, 1.30394, 1.3042, 1.30754, 0.2561467552188077, 2013.03.12 00:00:00
1, 1.30247, 1.30274, 1.30754, 0.3685305611645501, 2013.03.11 00:00:00
1, 1.30012, 1.30031, 1.30394, 0.2792049964618668, 2013.03.10 00:00:00
0, 1.30042, 1.30176, 1.30394, 0.1676381476753719, 2013.03.08 00:00:00
0, 1.30966, 1.31009, 1.30394, -0.4695875265336117, 2013.03.07 00:00:00
1, 1.29915, 1.30023, 1.30966, 0.7258592156409999, 2013.03.06 00:00:00
1, 1.30609, 1.30662, 1.30966, 0.2327557825264839, 2013.03.05 00:00:00
1, 1.30291, 1.30342, 1.30966, 0.4789279382305779, 2013.03.04 00:00:00
1, 1.30226, 1.30253, 1.30966, 0.5475097138820267, 2013.03.03 00:00:00
1, 1.3018, 1.30208, 1.30609, 0.3080350284221729, 2013.03.01 00:00:00
0, 1.30751, 1.30816, 1.30609, -0.1583161887863203, 2013.02.28 00:00:00
0, 1.31427, 1.31463, 1.30751, -0.5417456078279208, 2013.02.27 00:00:00
1, 1.30666, 1.30715, 1.31427, 0.5449007392894874, 2013.02.26 00:00:00
1, 1.30509, 1.30596, 1.31427, 0.6367376962508534, 2013.02.25 00:00:00
0, 1.31882, 1.31901, 1.31427, -0.359412201816773, 2013.02.24 00:00:00
0, 1.31907, 1.31949, 1.31882, -0.0507933619898829, 2013.02.22 00:00:00
0, 1.32179, 1.32238, 1.31907, -0.2504179937811715, 2013.02.21 00:00:00
0, 1.32622, 1.32683, 1.32179, -0.3800274464266814, 2013.02.20 00:00:00
0, 1.34122, 1.34184, 1.32622, -1.164611324018445, 2013.02.19 00:00:00
1, 1.33486, 1.33544, 1.34122, 0.4330042101793535, 2013.02.18 00:00:00
1, 1.33318, 1.33346, 1.34122, 0.5820669376978344, 2013.02.17 00:00:00
1, 1.33585, 1.33624, 1.34122, 0.3727963468952507, 2013.02.15 00:00:00
1, 1.33667, 1.33751, 1.34122, 0.2775554175675449, 2013.02.14 00:00:00
0, 1.3444, 1.34508, 1.33667, -0.6255578696816445, 2013.02.13 00:00:00
0, 1.34432, 1.34498, 1.3444, -0.04314448940728584, 2013.02.12 00:00:00
1, 1.3389, 1.33942, 1.3444, 0.3719471207707809, 2013.02.11 00:00:00
1, 1.33675, 1.33705, 1.3444, 0.5498410323546056, 2013.02.10 00:00:00
1, 1.33614, 1.3368, 1.3444, 0.5688026703788564, 2013.02.08 00:00:00
0, 1.34126, 1.3418, 1.34432, 0.1878830353548049, 2013.02.07 00:00:00
0, 1.35086, 1.35138, 1.34126, -0.7491523918096551, 2013.02.06 00:00:00
0, 1.35786, 1.35833, 1.35086, -0.5501303521718062, 2013.02.05 00:00:00
1, 1.34917, 1.34964, 1.35786, 0.6092634730982839, 2013.02.04 00:00:00
0, 1.36291, 1.36315, 1.35786, -0.3881400826173421, 2013.02.03 00:00:00
0, 1.36391, 1.36442, 1.36291, -0.110711117302454, 2013.02.01 00:00:00
0, 1.36167, 1.36213, 1.36391, 0.1307218342182845, 2013.01.31 00:00:00
1, 1.35706, 1.35759, 1.36391, 0.4657126435087693, 2013.01.30 00:00:00
1, 1.34879, 1.34924, 1.36391, 1.08764151572891, 2013.01.29 00:00:00
1, 1.34537, 1.34571, 1.36391, 1.352787708957387, 2013.01.28 00:00:00
1, 1.34539, 1.3457, 1.36167, 1.187016404165321, 2013.01.27 00:00:00
1, 1.34629, 1.34687, 1.35706, 0.7568948740613034, 2013.01.25 00:00:00
1, 1.33545, 1.33593, 1.34879, 0.962971283088088, 2013.01.24 00:00:00
1, 1.33157, 1.33187, 1.34629, 1.082932177805155, 2013.01.23 00:00:00
1, 1.33138, 1.33184, 1.34629, 1.085340023133897, 2013.01.22 00:00:00
1, 1.33476, 1.33525, 1.34629, 0.827114986963944, 2013.01.21 00:00:00
1, 1.33188, 1.33218, 1.33545, 0.2455176141994854, 2013.01.20 00:00:00
0, 1.33195, 1.33253, 1.33476, 0.1674237020909159, 2013.01.18 00:00:00
0, 1.33804, 1.33852, 1.33476, -0.2810080416131047, 2013.01.17 00:00:00
1, 1.32811, 1.32852, 1.33804, 0.7168080957149445, 2013.01.16 00:00:00
1, 1.32877, 1.32918, 1.33804, 0.6667820616058361, 2013.01.15 00:00:00
0, 1.33569, 1.33617, 1.33804, 0.1400025455008135, 2013.01.14 00:00:00
0, 1.3395, 1.33996, 1.33804, -0.1433370660694396, 2013.01.13 00:00:00
1, 1.33416, 1.33462, 1.3395, 0.3657732206032423, 2013.01.11 00:00:00
1, 1.32581, 1.32608, 1.3395, 1.012211402840544, 2013.01.10 00:00:00
1, 1.30474, 1.30504, 1.3395, 2.641139230804617, 2013.01.09 00:00:00
1, 1.30731, 1.30761, 1.3395, 2.439360212956391, 2013.01.08 00:00:00
1, 1.31258, 1.3129, 1.33416, 1.619710798579883, 2013.01.07 00:00:00
1, 1.30498, 1.30523, 1.32581, 1.5770356633818, 2013.01.06 00:00:00
1, 1.30677, 1.30723, 1.31258, 0.4094063989837682, 2013.01.04 00:00:00
1, 1.30299, 1.30346, 1.31258, 0.6999286256993714, 2013.01.03 00:00:00
0, 1.31391, 1.31444, 1.31258, -0.1415622074571128, 2013.01.02 00:00:00
0, 1.32713, 1.32802, 1.31391, -1.063196521817762, 2013.01.01 00:00:00
1, 1.31964, 1.31994, 1.32713, 0.5448455639416834, 2012.12.31 00:00:00
1, 1.32108, 1.32138, 1.32713, 0.435249947013044, 2012.12.30 00:00:00
1, 1.32146, 1.32196, 1.32713, 0.39123393821984, 2012.12.28 00:00:00
0, 1.3242, 1.32456, 1.32713, 0.1940794441927172, 2012.12.27 00:00:00
0, 1.32308, 1.32338, 1.3242, 0.06197660005442172, 2012.12.26 00:00:00
1, 1.3187, 1.319, 1.3242, 0.394327747023591, 2012.12.24 00:00:00
1, 1.31822, 1.31852, 1.3242, 0.4308840709441618, 2012.12.23 00:00:00
1, 1.31867, 1.31898, 1.3242, 0.3958533977416641, 2012.12.21 00:00:00
1, 1.31921, 1.31964, 1.32308, 0.2607621227856148, 2012.12.20 00:00:00
0, 1.32244, 1.32299, 1.31921, -0.2858352741901422, 2012.12.19 00:00:00
0, 1.32508, 1.32534, 1.32244, -0.2188547106589718, 2012.12.18 00:00:00
1, 1.31697, 1.31729, 1.32508, 0.5915092978579591, 2012.12.17 00:00:00
1, 1.31536, 1.31562, 1.32508, 0.7191947451648236, 2012.12.16 00:00:00
1, 1.31622, 1.31654, 1.32508, 0.6488277035753896, 2012.12.14 00:00:00
1, 1.3083, 1.30874, 1.32508, 1.248949017809373, 2012.12.13 00:00:00
1, 1.3084, 1.30886, 1.31697, 0.6198410272088094, 2012.12.12 00:00:00
1, 1.30029, 1.30059, 1.31622, 1.202039545024574, 2012.12.11 00:00:00
1, 1.29324, 1.29354, 1.31622, 1.753734805604531, 2012.12.10 00:00:00
1, 1.28983, 1.29023, 1.3084, 1.408712776102278, 2012.12.09 00:00:00
1, 1.29261, 1.29313, 1.3084, 1.181330795831681, 2012.12.07 00:00:00
1, 1.29671, 1.29713, 1.30029, 0.2436936554819373, 2012.12.06 00:00:00
0, 1.30521, 1.3057, 1.29671, -0.688778051041599, 2012.12.05 00:00:00
0, 1.31136, 1.31166, 1.30521, -0.4918557833089363, 2012.12.04 00:00:00
1, 1.30617, 1.30647, 1.31136, 0.3743769953375181, 2012.12.03 00:00:00
1, 1.30398, 1.30438, 1.31136, 0.5352842835012966, 2012.12.02 00:00:00
1, 1.29848, 1.29882, 1.31136, 0.9657445628735132, 2012.11.30 00:00:00
1, 1.29919, 1.29961, 1.31136, 0.9044096706409321, 2012.11.29 00:00:00
1, 1.29536, 1.29566, 1.30617, 0.8113574604743098, 2012.11.28 00:00:00
1, 1.29344, 1.29374, 1.30398, 0.7916872835230105, 2012.11.27 00:00:00
0, 1.29838, 1.2988, 1.29919, 0.03003743126050251, 2012.11.26 00:00:00
1, 1.2957, 1.29589, 1.29919, 0.2546885853206823, 2012.11.25 00:00:00
0, 1.29729, 1.29772, 1.29838, 0.05087528617347571, 2012.11.23 00:00:00
1, 1.28843, 1.28877, 1.29838, 0.7458690033606713, 2012.11.22 00:00:00
1, 1.28408, 1.28438, 1.29838, 1.090274749236809, 2012.11.21 00:00:00
1, 1.27508, 1.27538, 1.29729, 1.718323556169032, 2012.11.20 00:00:00
1, 1.28024, 1.28064, 1.29729, 1.300537399237647, 2012.11.19 00:00:00
1, 1.27633, 1.27654, 1.28843, 0.9315772566655926, 2012.11.18 00:00:00
1, 1.27418, 1.27448, 1.28408, 0.7534257326280474, 2012.11.16 00:00:00
1, 1.27693, 1.27723, 1.28024, 0.2357216135575135, 2012.11.15 00:00:00
1, 1.27481, 1.27511, 1.28024, 0.4024129085903059, 2012.11.14 00:00:00
1, 1.27194, 1.27224, 1.27693, 0.3687280846580879, 2012.11.13 00:00:00
1, 1.2684, 1.2687, 1.27693, 0.6488489435509446, 2012.11.12 00:00:00
1, 1.2727, 1.2729, 1.27693, 0.3166496424923548, 2012.11.11 00:00:00
1, 1.27106, 1.27148, 1.27481, 0.2619860588799768, 2012.11.09 00:00:00
0, 1.27762, 1.27804, 1.2727, -0.4179646530267311, 2012.11.08 00:00:00
1, 1.2745, 1.2749, 1.27762, 0.213417026284822, 2012.11.07 00:00:00
0, 1.28586, 1.28616, 1.27762, -0.6641469522343018, 2012.11.06 00:00:00
1, 1.27932, 1.27973, 1.28586, 0.4791608041772167, 2012.11.05 00:00:00
1, 1.28253, 1.28283, 1.28586, 0.2362517835840166, 2012.11.04 00:00:00
0, 1.28333, 1.2839, 1.28586, 0.152727669422515, 2012.11.02 00:00:00
0, 1.29327, 1.29363, 1.28586, -0.6008026166229661, 2012.11.01 00:00:00
0, 1.29656, 1.29686, 1.29327, -0.276886530511506, 2012.10.31 00:00:00
0, 1.29608, 1.29642, 1.29656, 0.01080180235788138, 2012.10.30 00:00:00
1, 1.29095, 1.29115, 1.29656, 0.4190712266160513, 2012.10.29 00:00:00
1, 1.29265, 1.29282, 1.29656, 0.2893281243956101, 2012.10.28 00:00:00
0, 1.29385, 1.29455, 1.29656, 0.155350311087071, 2012.10.26 00:00:00
0, 1.29508, 1.29554, 1.29608, 0.04169626586774446, 2012.10.25 00:00:00
0, 1.29815, 1.29852, 1.29508, -0.2649924893117212, 2012.10.24 00:00:00
0, 1.2983, 1.2986, 1.29815, -0.0346607101594269, 2012.10.23 00:00:00
0, 1.30528, 1.30558, 1.2983, -0.5577347389065911, 2012.10.22 00:00:00
0, 1.30477, 1.30509, 1.30528, 0.01456195344772737, 2012.10.21 00:00:00
1, 1.3023, 1.3026, 1.30528, 0.2057897565845055, 2012.10.19 00:00:00
0, 1.30608, 1.30638, 1.30528, -0.08422148719834166, 2012.10.18 00:00:00
0, 1.31068, 1.31098, 1.30608, -0.3738517410809583, 2012.10.17 00:00:00
0, 1.30927, 1.30957, 1.31068, 0.08478006828233797, 2012.10.16 00:00:00
1, 1.29678, 1.29709, 1.31068, 1.047980382177393, 2012.10.15 00:00:00
1, 1.28992, 1.29016, 1.31068, 1.590796328454485, 2012.10.14 00:00:00
1, 1.29503, 1.29536, 1.31068, 1.182984177972711, 2012.10.12 00:00:00
1, 1.29263, 1.29293, 1.30927, 1.264089491965994, 2012.10.11 00:00:00
1, 1.28659, 1.28689, 1.29678, 0.7686986530285621, 2012.10.10 00:00:00
