Signal, Bid (sell price), Ask (buy price), Max Close in 240 Hour(s), Target, Time
0, 1.33785, 1.33807, 1.34191, 0.2870276936876214, 2013.08.08 00:00:00
0, 1.32819, 1.3284, 1.33303, 0.3485947040709471, 2013.07.25 00:00:00
0, 1.30604, 1.30629, 1.30962, 0.2549692199320125, 2013.07.01 00:00:00
0, 1.30695, 1.30722, 1.30962, 0.1836336508665181, 2013.06.27 00:00:00
0, 1.30334, 1.30362, 1.30695, 0.2554974143354808, 2013.06.26 00:00:00
0, 1.30655, 1.30695, 1.30695, 0, 2013.06.25 00:00:00
0, 1.31218, 1.31321, 1.30695, -0.4770686948437069, 2013.06.24 00:00:00
0, 1.30903, 1.30924, 1.31218, 0.2245937831829802, 2013.06.23 00:00:00
0, 1.31209, 1.31245, 1.31218, -0.02057785670188558, 2013.06.21 00:00:00
0, 1.32416, 1.32446, 1.31218, -0.9273803769937052, 2013.06.20 00:00:00
0, 1.32674, 1.32712, 1.32416, -0.2231032455492465, 2013.06.19 00:00:00
0, 1.33895, 1.33953, 1.32674, -0.9552261100115821, 2013.06.18 00:00:00
0, 1.33541, 1.33564, 1.33895, 0.2478639518949346, 2013.06.17 00:00:00
0, 1.33256, 1.33276, 1.33895, 0.4645194212643439, 2013.06.16 00:00:00
0, 1.33445, 1.33498, 1.33895, 0.2975008430439695, 2013.06.14 00:00:00
0, 1.33505, 1.33534, 1.33895, 0.2704018576083377, 2013.06.13 00:00:00
0, 1.33604, 1.33627, 1.33895, 0.2005927966228568, 2013.06.12 00:00:00
0, 1.28602, 1.28677, 1.29278, 0.4673333229654337, 2013.05.16 00:00:00
0, 1.28737, 1.28822, 1.29278, 0.3542105222274791, 2013.05.15 00:00:00
0, 1.29289, 1.29387, 1.29278, -0.08430724964999446, 2013.05.14 00:00:00
0, 1.30075, 1.30133, 1.29289, -0.6488564289832961, 2013.05.13 00:00:00
0, 1.29725, 1.29749, 1.30075, 0.2513008286760486, 2013.05.12 00:00:00
0, 1.29853, 1.29932, 1.30075, 0.1101245254249068, 2013.05.10 00:00:00
0, 1.30411, 1.3046, 1.30075, -0.2952204952036355, 2013.05.09 00:00:00
0, 1.31624, 1.31669, 1.30411, -0.9557527502583142, 2013.05.08 00:00:00
0, 1.31245, 1.31268, 1.31624, 0.2712484285115629, 2013.05.05 00:00:00
0, 1.31131, 1.3122, 1.31624, 0.3080888577071816, 2013.05.03 00:00:00
0, 1.31743, 1.31794, 1.31624, -0.1290391140326099, 2013.05.01 00:00:00
0, 1.31643, 1.31701, 1.31743, 0.03190446890452701, 2013.04.30 00:00:00
0, 1.3064, 1.30694, 1.30877, 0.1400796080832822, 2013.04.18 00:00:00
0, 1.3044, 1.30485, 1.30762, 0.2123581723397684, 2013.04.17 00:00:00
0, 1.31741, 1.31793, 1.30762, -0.7825961545760273, 2013.04.16 00:00:00
0, 1.31082, 1.31159, 1.31741, 0.4439968874444955, 2013.04.12 00:00:00
0, 1.31224, 1.31255, 1.31741, 0.3703590806559672, 2013.04.11 00:00:00
1, 1.28462, 1.28501, 1.31224, 2.119692983139007, 2013.04.03 00:00:00
1, 1.28031, 1.28084, 1.31224, 2.45253102764175, 2013.04.02 00:00:00
1, 1.28658, 1.28732, 1.31224, 1.936918030748189, 2013.04.01 00:00:00
1, 1.27809, 1.27837, 1.30862, 2.366812978741708, 2013.03.31 00:00:00
1, 1.28148, 1.28236, 1.30862, 2.049193120454471, 2013.03.29 00:00:00
1, 1.28272, 1.28312, 1.3054, 1.736934015217668, 2013.03.28 00:00:00
1, 1.27792, 1.27821, 1.29915, 1.638600225366234, 2013.03.27 00:00:00
1, 1.28441, 1.28516, 1.29915, 1.08921606029227, 2013.03.26 00:00:00
0, 1.28675, 1.28715, 1.29241, 0.4087818146493135, 2013.03.25 00:00:00
0, 1.30343, 1.3041, 1.28675, -1.331103319702629, 2013.03.24 00:00:00
0, 1.29867, 1.29927, 1.30343, 0.3203277198980621, 2013.03.22 00:00:00
1, 1.29136, 1.29232, 1.30343, 0.8603332920332018, 2013.03.21 00:00:00
1, 1.29468, 1.29551, 1.30343, 0.6117341736954248, 2013.03.20 00:00:00
1, 1.28738, 1.28848, 1.30343, 1.161273283723533, 2013.03.19 00:00:00
1, 1.29542, 1.29576, 1.30343, 0.5920859643976522, 2013.03.18 00:00:00
1, 1.29027, 1.29043, 1.30343, 1.007541057298094, 2013.03.17 00:00:00
0, 1.30754, 1.30807, 1.30343, -0.3548648607308194, 2013.03.15 00:00:00
0, 1.30213, 1.30246, 1.30754, 0.3901300177401622, 2013.03.14 00:00:00
1, 1.29474, 1.2951, 1.30754, 0.9608106646894363, 2013.03.13 00:00:00
0, 1.30394, 1.3042, 1.30754, 0.2561467552188077, 2013.03.12 00:00:00
0, 1.30247, 1.30274, 1.30754, 0.3685305611645501, 2013.03.11 00:00:00
1, 1.30012, 1.30031, 1.30754, 0.5561025136141333, 2013.03.10 00:00:00
0, 1.30042, 1.30176, 1.30754, 0.444471786038366, 2013.03.08 00:00:00
0, 1.30966, 1.31009, 1.30754, -0.1947070231968642, 2013.03.07 00:00:00
1, 1.29915, 1.30023, 1.30966, 0.7258592156409999, 2013.03.06 00:00:00
0, 1.30609, 1.30662, 1.30966, 0.2327557825264839, 2013.03.05 00:00:00
0, 1.30291, 1.30342, 1.30966, 0.4789279382305779, 2013.03.04 00:00:00
1, 1.30226, 1.30253, 1.30966, 0.5475097138820267, 2013.03.03 00:00:00
1, 1.3018, 1.30208, 1.30966, 0.5822707021047718, 2013.03.01 00:00:00
0, 1.30751, 1.30816, 1.30966, 0.1147218759321196, 2013.02.28 00:00:00
0, 1.31427, 1.31463, 1.30966, -0.3781566953517861, 2013.02.27 00:00:00
